movie_name,movie_rate,genre1,genre2,genre3,genre4,genre5,genre6
人生切割术 第一季 / Severance Season 1,9.1,Drama,Sci-Fi,Mystery,Thriller,,
熔炉 / 도가니,9.4,Drama,,,,,
入殓师 / おくりびと,8.9,Drama,,,,,
瑞士军刀男 / Swiss Army Man,7.8,Drama,Comedy,Romance,Fantasy,,
三叉戟,7.5,Drama,Crime,,,,
"三块广告牌 / Three Billboards Outside Ebbing, Missouri",8.7,Drama,Crime,,,,
三傻大闹宝莱坞 / 3 Idiots,9.2,Drama,Comedy,Romance,Music,,
扫黑风暴,7.1,Drama,Crime,,,,
杀人回忆 / 살인의 추억,8.9,Drama,Action,Mystery,Thriller,Crime,
沙丘 / Dune,7.7,Drama,Sci-Fi,Adventure,,,
山河故人,8.1,Drama,Family,,,,
闪亮女孩 / Shining Girls,8.5,Sci-Fi,Mystery,Thriller,,,
尚气与十环传奇 / Shang-Chi and the Legend of the Ten Rings,6,Action,Sci-Fi,Fantasy,Adventure,,
少年的你,8.2,Drama,Romance,Crime,,,
少年派的奇幻漂流 / Life of Pi,9.1,Drama,Fantasy,Adventure,,,
神盾局特工 第二季 / Agents of S.H.I.E.L.D. Season 2,8.4,Drama,Action,Sci-Fi,,,
神盾局特工 第六季 / Agents of S.H.I.E.L.D. Season 6,8.6,Drama,Action,Sci-Fi,,,
神盾局特工 第七季 / Agents of S.H.I.E.L.D. Season 7,9.3,Drama,Action,Sci-Fi,Thriller,Adventure,
,,,,,
,,,,,
神盾局特工 第三季 / Agents of S.H.I.E.L.D. Season 3,8.4,Drama,Action,Sci-Fi,,,
神盾局特工 第四季 / Agents of S.H.I.E.L.D. Season 4,8.6,Drama,Action,Sci-Fi,,,
神盾局特工 第五季 / Agents of S.H.I.E.L.D. Season 5,8.8,Drama,Action,Sci-Fi,,,
神盾局特工 第一季 / Agents of S.H.I.E.L.D. Season 1,8.3,Drama,Action,Sci-Fi,,,
神奇动物：格林德沃之罪 / Fantastic Beasts: The Crimes of Grindelwald,7,Fantasy,Adventure,,,,
神奇女侠1984 / Wonder Woman 1984,6.1,Action,Fantasy,Adventure,,,
神奇女侠 / Wonder Woman,7.1,Action,Fantasy,Adventure,,,
神探夏洛克  第二季 / Sherlock Season 2,9.6,Drama,Mystery,Crime,,,
神探夏洛克 第三季 / Sherlock Season 3,9.1,Drama,Mystery,Crime,,,
神探夏洛克 第四季 / Sherlock Season 4,8.7,Drama,Mystery,Crime,,,
神探夏洛克 第一季 / Sherlock Season 1,9.5,Drama,Mystery,Crime,,,
神探夏洛克：可恶的新娘 / Sherlock: The Abominable Bride,7.2,Drama,Mystery,Crime,,,
神偷奶爸 / Despicable Me,8.7,Comedy,Animation,Adventure,,,
胜者即是正义 / リーガル・ハイ,9.4,Drama,Comedy,Crime,,,
胜者即是正义2 / リーガルハイ2,9.4,Comedy,Mystery,Crime,,,
狮子王 / The Lion King,9.1,Animation,Music,Adventure,,,
十日游戏,7,Romance,Mystery,Crime,,,
世间有她,5.2,Drama,,,,,
受益人,6.5,Drama,Comedy,Romance,,,
狩猎 / Jagten,9.1,Drama,,,,,
赎罪 / Atonement,8.5,Drama,Romance,Mystery,War,,
摔跤吧！爸爸 / Dangal,9,Drama,Family,Biography,,,
双探,6.8,Mystery,Crime,,,,
谁是被害者 第一季 / 誰是被害者 第一季,8,Mystery,Crime,,,,
水形物语 / The Shape of Water,7.2,Drama,Romance,Fantasy,,,
瞬息全宇宙 / Everything Everywhere All at Once,7.6,Comedy,Fantasy,Adventure,,,
死侍2：我爱我家 / Deadpool 2,7.3,Comedy,Action,Sci-Fi,Adventure,,
死侍 / Deadpool,7.8,Comedy,Action,Sci-Fi,Adventure,,
死亡诗社 / Dead Poets Society,9.2,Drama,,,,,
送我上青云,7,Drama,,,,,
素媛 / 소원,9.3,Drama,,,,,
他人即地狱 / 타인은 지옥이다,8.4,Mystery,Thriller,Crime,,,
塔尔 / Tár,7.4,Drama,Music,,,,
唐人街探案,7.1,Mystery,Thriller,Crime,,,
唐人街探案3,5.3,Comedy,Mystery,,,,
唐山大地震,7.8,Drama,History,,,,
特工卡特 第二季 / Agent Carter Season 2,8.4,Action,Sci-Fi,Adventure,,,
特工卡特 第一季 / Agent Carter Season 1,8.4,Action,Sci-Fi,Adventure,,,
,,,,,
,,,,,
天才枪手 / ฉลาดเกมส์โกง,8.2,Drama,Mystery,Crime,,,
天空之城 / 天空の城ラピュタ,9.2,Animation,Fantasy,Adventure,,,
天气之子 / 天気の子,7,Romance,Animation,Fantasy,,,
天使爱美丽 / Le fabuleux destin d'Amélie Poulain,8.7,Drama,Comedy,Romance,,,
通天塔 / Babel,8.1,Drama,,,,,
头号玩家 / Ready Player One,8.7,Action,Sci-Fi,Adventure,,,
徒手攀岩 / Free Solo,8.8,Documentary,,,,,
王国 第二季 / 킹덤 Season 2,8.3,Drama,Horror,History,,,
王国 第一季 / 킹덤 Season 1,8.6,Drama,Horror,History,,,
王牌特工：特工学院 / Kingsman: The Secret Service,8.4,Comedy,Action,Adventure,,,
旺达幻视 / WandaVision,9,Drama,Sci-Fi,,,,
为了N / Nのために,8.7,Drama,Mystery,,,,
未麻的部屋 / Perfect Blue,9.1,Animation,Thriller,Fantasy,,,
我不是药神,9,Drama,Comedy,,,,
我的恐怖妻子 / 僕のヤバイ妻,9.1,Drama,Mystery,,,,
"我们的父辈 / Unsere Mütter, unsere Väter",9.6,Drama,Action,History,War,,
我们与恶的距离 / 我們與惡的距離,9.4,Drama,,,,,
我是余欢水,7.3,Drama,,,,,
我心雀跃,6.7,Drama,,,,,
无名之辈,8,Drama,Comedy,,,,
无人生还 / No One Lives,6.4,Thriller,Horror,,,,
无双 / 無雙,8,Drama,Action,Mystery,Crime,,
无罪之最 / El inocente,8.5,Drama,Mystery,Thriller,Crime,,
恶之花 / 악의 꽃,8.7,Drama,,,,,
误杀,7.5,Drama,Mystery,Crime,,,
西部世界 第一季 / Westworld Season 1,8.9,Sci-Fi,,,,,
西西里的美丽传说 / Malèna,8.9,Drama,,War,,,
西游记之大圣归来,8.3,Drama,Animation,Fantasy,,,
喜福会 / The Joy Luck Club,8.4,Drama,Romance,,,,
喜宴 / 囍宴,9,Drama,Comedy,Romance,,Family,
想见你 / 想見你,9.2,Romance,Mystery,Fantasy,,,
消失的爱人 / Gone Girl,8.7,Drama,Mystery,Thriller,Crime,,
小丑 / Joker,8.7,Drama,Thriller,Crime,,,
小萝莉的猴神大叔 / Bajrangi Bhaijaan,8.4,Drama,Comedy,Action,,,
小偷家族 / 万引き家族,8.7,Drama,Family,Crime,,,
肖申克的救赎 / The Shawshank Redemption,9.7,Drama,Crime,,,,
邪不压正,7,Drama,Comedy,Action,,,
心理测量者 / PSYCHO-PASS サイコパス,9.1,Action,Animation,Crime,,,
,,,,,
,,,,,
心灵捕手 / Good Will Hunting,8.9,Drama,,,,,
心灵奇旅 / Soul,8.7,Animation,Music,Fantasy,,,
新蝙蝠侠 / The Batman,7.2,Drama,Action,Mystery,Crime,,
辛德勒的名单 / Schindler's List,9.6,Drama,History,War,,,
信号 / 시그널,9.2,Drama,Mystery,Crime,Fantasy,,
信条 / Tenet,7.6,Drama,Action,Sci-Fi,,,
星际穿越 / Interstellar,9.4,Drama,Sci-Fi,Adventure,,,
猩球崛起2：黎明之战 / Dawn of the Planet of the Apes,7.7,Drama,Action,Sci-Fi,,,
性爱自修室 第二季 / Sex Education Season 2,9.1,Drama,Comedy,,,,
性爱自修室 第三季 / Sex Education Season 3,9,Drama,Comedy,Romance,,,
